"trial","MatingSuccess","rel_repo_fitness"
1,2.33333333333333,2.15384615384615
1,1.16666666666667,1.25641025641026
1,2.33333333333333,2.15384615384615
1,1.16666666666667,1.43589743589744
1,0,0
1,0,0
1,0,0
3,0,0
3,0,0
3,1.14285714285714,1.00523560209424
3,2.28571428571429,1.84293193717277
3,1.14285714285714,1.75916230366492
3,2.28571428571429,2.63874345549738
3,1.14285714285714,0.753926701570681
3,0,0
4,4.8,5.15555555555556
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,3.2,2.84444444444444
5,2.28571428571429,2.07228915662651
5,1.14285714285714,1.20481927710843
5,0,0
5,0,0
5,3.42857142857143,3.42168674698795
5,1.14285714285714,1.30120481927711
5,0,0
5,0,0
6,0,0
6,0,0
6,1.14285714285714,1.5632183908046
6,0,0
6,0,0
6,1.14285714285714,1.74712643678161
6,2.28571428571429,2.20689655172414
6,3.42857142857143,2.48275862068966
7,0,0
7,1.14285714285714,1.19540229885057
7,2.28571428571429,2.16091954022989
7,0,0
7,0,0
7,2.28571428571429,1.19540229885057
7,0,0
7,2.28571428571429,3.44827586206897
8,1,1.15032679738562
8,0,0
8,1,1.38562091503268
8,1,0.65359477124183
8,1,1.33333333333333
8,1,0.758169934640523
8,0,0
8,3,2.71895424836601
